FacilityName,FacilityNameNum,Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates,capacityNum,lat,lon
Portage,Portage,Portage,Commercial Scale Wind,Babcock & Brown,Babcock & Brown,,PA,70 MW,35,,Gamesa,Under Construction,"40.391911°, -78.672747°",70,40.391911,-78.672747
Portsmouth Abbey School Wind Turbine Wind Farm,Portsmouth Abbey School Wind Turbine Wind Farm,Portsmouth Abbey School Wind Turbine,Community Wind,Portsmouth Abbey School,Portsmouth Abbey School,Portsmouth Abbey School,Portsmouth RI,0.66 MW,1,2006,Vestas,In Service,"41.599032°, -71.268688°",0.66,41.599032,-71.268688
Portsmouth Wind Turbine,Portsmouth Wind Turbine,Portsmouth Wind Turbine,Community Wind,Town of Portsmouth,,Town of Portsmouth,Portsmouth RI,1.5 MW,1,2009,AAER,In Service,"41.614216°, -71.25165°",1.5,41.614216,-71.25165
Post Rock,Post Rock,Post Rock,Commercial Scale Wind,Wind Capital Group,Wind Capital Group,Westar Energy,Ellsworth KS,201 MW,134,2012,GE Energy,In Service,"38.87269233°, -98.33059788°",201,38.87269233,-98.33059788
Power County,Power County,Power County,Commercial Scale Wind,CG Power Solutions,CG Power Solutions,PacifiCorp,American Falls ID,45 MW,18,2011,Nordex,In Service,"42.66135774°, -112.9727554°",45,42.66135774,-112.9727554
Prairie Rose,Prairie Rose,Prairie Rose,Commercial Scale Wind,Geronimo Wind Energy,Geronimo Wind Energy,Xcel Energy,Jasper MN,199.92 MW,119,2012,Gamesa,In Service,"43.78671052°, -96.32091522°",199.92,43.78671052,-96.32091522
Prairie Star (07) Wind Farm,Prairie Star (07) Wind Farm,Prairie Star (07),Commercial Scale Wind,Horizon Wind Energy,Horizon Wind Energy,Great River Energy,Mower County MN,99 MW,60,2007,Vestas,In Service,"43.685955°, -92.626777°",99,43.685955,-92.626777
Prairie Star (08) Wind Farm,Prairie Star (08) Wind Farm,Prairie Star (08),Commercial Scale Wind,Horizon,Horizon,Great River Energy,Mower County MN,1.65 MW,1,2008,Vestas,In Service,"43.685955°, -92.626777°",1.65,43.685955,-92.626777
Prairie Winds ND I,Prairie Winds ND I,Prairie Winds ND I,Commercial Scale Wind,Basin Electric,Basin Electric Power,Basin Electric,Ward County ND,115.5 MW,77,2009,GE Energy,In Service,"48.022462°, -101.292365°",115.5,48.022462,-101.292365
Prairie Winds Wind Farm,Prairie Winds Wind Farm,Prairie Winds,Commercial Scale Wind,Basin Electric Power Coop/Central Power Electric Coop,Basin Electric Power Coop/Central Power Electric Coop,Basin Electric Power Coop/Central Power Electric Coop,Near Minot ND,2.6 MW,2,2002,Nordex,In Service,"48.022927°, -101.291435°",2.6,48.022927,-101.291435
Presque Isle Wind Project,Presque Isle Wind Project,Presque Isle Wind Project,Community Wind,University of Maine at Presque Isle,,University of Maine at Presque Isle,University of ME at Presque Isle ME,0.6 MW,1,2009,,In Service,"46.669179°, -68.01851°",0.6,46.669179,-68.01851
Pretty Prairie High School Wind Project,Pretty Prairie High School Wind Project,Pretty Prairie High School,Community Wind,,,,KS,,1,,SkyStream,,"37.78093°, -98.017822°",0,37.78093,-98.017822
Providence Heights Wind Farm,Providence Heights Wind Farm,Providence Heights,Commercial Scale Wind,Iberdrola Renewables,Midwest Wind Energy,,Bureau County IL,72 MW,36,2008,Gamesa,In Service,"41.264075°, -89.580853°",72,41.264075,-89.580853
Pueblo Towers,Pueblo Towers,Pueblo Towers,Commercial Scale Wind,Vestas Towers,Vestas Towers,Vestas Towers,CO,1.8 MW,1,2010,Vestas,In Service,"38.205834°, -104.588141°",1.8,38.205834,-104.588141
Punta Lima,Punta Lima,Punta Lima,Commercial Scale Wind,Gestamp Wind,Gestamp Wind,Puerto Rico Electric Power Authority (PREPA),Naguabo Puerto Rico,23.4 MW,13,2012,Vestas,In Service,"18.19194864°, -65.69935799°",23.4,18.19194864,-65.69935799
Pyron (Roscoe III) Wind Farm,Pyron (Roscoe III) Wind Farm,Pyron (Roscoe III),Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,,Near Roscoe TX,249 MW,166,2009,GE Energy,In Service,"32.354161°, -100.344825°",249,32.354161,-100.344825
Quinhagak,Quinhagak,Quinhagak,Community Wind,Quinhagak,,Quinhagak,Quinhagek AK,0.3 MW,3,2010,Northern Power Systems,In Service,"59.7488889°, -161.9158333°",0.3,59.7488889,-161.9158333
Radial Wind Farm,Radial Wind Farm,Radial Wind Farm,Offshore Wind,Radial Wind,Radial Wind,,Lake Michigan WI,"1,950 MW",390,,,Proposed,"43.039°, -87.536°",1950,43.039,-87.536
Rail Splitter Wind Farm,Rail Splitter Wind Farm,Rail Splitter Wind Farm,Commercial Scale Wind,Horizon,Horizon,,Tazewell and Logan Counties IL,100.5 MW,67,2009,GE Energy,In Service,"40.309398°, -89.396195°",100.5,40.309398,-89.396195
Ralls Wind Farm,Ralls Wind Farm,Ralls Wind Farm,Commercial Scale Wind,Ralls Corp,Canyon West,Xcel Energy,Ralls TX,10 MW,5,2011,Sany,In Service,"33.66146044°, -101.3856554°",10,33.66146044,-101.3856554
Randolph Eastern School Corporation,Randolph Eastern School Corporation,Randolph Eastern School Corporation,Community Wind,Performance Services,,AEP - Indiana Michigan Power,Union City IL,1 MW,1,2010,Nordic,In Service,"40.21004828°, -84.82192039°",1,40.21004828,-84.82192039
Rankin CSD 98,Rankin CSD 98,Rankin Elementary School,Community Wind,Rankin CSD 98,,,IL,,1,2013,Skystream,In Service,"40.5601433°, -89.6456966°",0,40.5601433,-89.6456966
Rattlesnake Road Wind Farm,Rattlesnake Road Wind Farm,Rattlesnake Road,Commercial Scale Wind,Horizon,Horizon,Constellation Energy/PG&E,Gilliam County west of Arlington OR,102.9 MW,49,2008,Suzlon Energy Company,In Service,"45.700461°, -120.280581°",102.9,45.700461,-120.280581
Record Hill,Record Hill,Record Hill,Commercial Scale Wind,Wagner Wind Energy - Independence Wind LLC,Wagner Wind Energy - Independence Wind LLC,,Roxbury ME,50.6 MW,22,2011,Siemens,In Service,"44.66175478°, -70.63453674°",50.6,44.66175478,-70.63453674
Red Canyon Wind Farm,Red Canyon Wind Farm,Red Canyon Wind Farm,Commercial Scale Wind,NextEra Energy Resources,Florida Power & Light Co.,,Borden TX,84 MW,56,2006,GE Energy,In Service,"32.95326011°, -101.215539°",84,32.95326011,-101.215539
Red Hills Wind Farm,Red Hills Wind Farm,Red Hills Wind Farm,Commercial Scale Wind,Acciona,Acciona,N/A,North of Elk City OK,123 MW,82,2009,Acciona,In Service,"35.531944°, -99.403889°",123,35.531944,-99.403889
Red Mesa,Red Mesa,Red Mesa,Commercial Scale Wind,NextEra Energy Resources,Wanzek Construction,,Cibola County near Seboyeta NM,102.4 MW,64,2010,GE Energy,In Service,"35.197003°, -107.372611°",102.4,35.197003,-107.372611
Refurbished Projects Wind Farm,Refurbished Projects Wind Farm,Refurbished Projects,Commercial Scale Wind,,Dave Healow,,Various MT,1.43 MW,22,2005,Refurbished Nordtanks,In Service,"46.436328°, -109.834492°",1.43,46.436328,-109.834492
Rhode Island Offshore Wind Farm,Rhode Island Offshore Wind Farm,Rhode Island Offshore Wind Farm,Offshore Wind,,Deepwater Wind,,Offshore from Sakonnet RI,384 MW,130,,Undetermined,Proposed,"40.96°, -71.44°",384,40.96,-71.44
Richardton Abbey Wind Farm,Richardton Abbey Wind Farm,Richardton Abbey,Community Wind,Richardton Abbey,,Richardton Abbey,Richardton ND,0.125 MW,1,1997,Silver Eagle,In Service,"46.8838956°, -102.3157292°",0.125,46.8838956,-102.3157292
Richland Community College,Richland Community College,Richland Community College,Definition:Small Scale Wind,,,,Decatur IL,0.1 MW,1,2009,Northern Power Systems,In Service,"39.88666061°, -88.89538586°",0.1,39.88666061,-88.89538586
Ridgetop Energy Wind Farm I,Ridgetop Energy Wind Farm I,Ridgetop Energy,Commercial Scale Wind,Caithness,,Southern California Edison Co,Tehachapi CA,14 MW,28,1985,Vestas,In Service,"35.07665°, -118.25529°",14,35.07665,-118.25529
Ridgetop Energy Wind Farm II,Ridgetop Energy Wind Farm II,Ridgetop Energy,Commercial Scale Wind,Caithness,,Southern California Edison Co,Tehachapi CA,12.76 MW,232,1985,Nordtank,In Service,"35.07665°, -118.25529°",12.76,35.07665,-118.25529
Ridgetop Energy Wind Farm III,Ridgetop Energy Wind Farm III,Ridgetop Energy,Commercial Scale Wind,Caithness,,Southern California Edison Co,Tehachapi CA,1.3 MW,12,1985,Micon,In Service,"35.1317°, -118.451°",1.3,35.1317,-118.451
Ridgetop Energy Wind Farm IV,Ridgetop Energy Wind Farm IV,Ridgetop Energy,Commercial Scale Wind,Caithness,,Southern California Edison Co,Tehachapi CA,0.25 MW,1,1985,Micon,In Service,"35.1317°, -118.451°",0.25,35.1317,-118.451
Ridgewind Wind Farm,Ridgewind Wind Farm,Ridgewind,Commercial Scale Wind,Ridgewind Power Partners LLC,Project Resources Corporation,Xcel Energy,Woodstock MN,25.3 MW,11,2010,Siemens,In Service,"44.011752°, -96.114664°",25.3,44.011752,-96.114664
Rigby High School Wind Project,Rigby High School Wind Project,Rigby High School,Community Wind,,,,ID,,1,,SkyStream,,"43.667439°, -111.940163°",0,43.667439,-111.940163
Rigby Midway School Wind Project,Rigby Midway School Wind Project,Rigby Midway School,Community Wind,,,,ID,,1,,SkyStream,,"43.670433°, -111.967293°",0,43.670433,-111.967293
Rim Rock Wind Farm,Rim Rock Wind Farm,Rim Rock Wind Farm,Commercial Scale Wind,NaturEner,NaturEner,San Diego Gas & Electric,Glacier and Toole Counties MT,189 MW,126,2012,Acciona,In Service,"48.779564°, -112.061291°",189,48.779564,-112.061291
Rio Grande North,Rio Grande North,Rio Grande North,Offshore Wind,Baryonyx Corporation,Baryonyx Corporation,,Offshore from South Padre Island TX,"1,000 MW",160,,,Proposed,"26.364°, -97.078°",1000,26.364,-97.078
Rio Grande South,Rio Grande South,Rio Grande South,Offshore Wind,Baryonyx Corporation,Baryonyx Corporation,,Gulf of Mexico TX,"1,000 MW",160,,,Proposed,"26.189°, -97.053°",1000,26.189,-97.053
Rippey,Rippey,Rippey,Commercial Scale Wind,RPM Access Wind Development,RPM Access Wind Development,Central Iowa Power Cooperative,Rippey IA,50 MW,20,2012,Nordex,In Service,"41.9963704°, -94.19471741°",50,41.9963704,-94.19471741
Roadrunner I,Roadrunner I,Roadrunner I,Commercial Scale Wind,Roadrunner I LLC,,Xcel Energy,Lake Benton MN,1.25 MW,1.25,2006,Suzlon Energy Company,In Service,"44.2911°, -96.4342°",1.25,44.2911,-96.4342
Robertsons Ready Mix,Robertsons Ready Mix,Robertsons Ready Mix,Community Wind,Foundation Windpower,Foundation Windpower,Robertsons Ready Mix,Cabazon CA,3.2 MW,2,2012,GE Energy,In Service,"33.915842°, -116.81325°",3.2,33.915842,-116.81325
Rock River Wind Farm,Rock River Wind Farm,Rock River Wind Farm,Commercial Scale Wind,Shell Wind Energy,SeaWest,PacifiCorp,Arlington and Carbon Counties WY,50 MW,50,2001,Mitsubishi,In Service,"41.6996°, -107.003°",50,41.6996,-107.003
Rock of Ages,Rock of Ages,Rock of Ages,Definition:Small Scale Wind,Rock of Ages,,Rock of Ages,Graniteville VT,0.1 MW,1,2010,Northern Power Systems,In Service,"44.14668574°, -72.48180896°",0.1,44.14668574,-72.48180896
Rockland Wind,Rockland Wind,Rockland Wind,Commercial Scale Wind,,Ridgeline,Idaho Power,Power County ID,79.2 MW,44,2011,Vestas,In Service,"42.679915°, -112.914837°",79.2,42.679915,-112.914837
Rocky Ridge I,Rocky Ridge I,Rocky Ridge I,Commercial Scale Wind,Enel Green Power North America / TradeWind Energy,TradeWind Energy,Western Farmers Electric Cooperative,Rocky OK,148.8 MW,93,2012,GE Energy,In Service,"35.055821°, -98.838426°",148.8,35.055821,-98.838426
Roeder Farms,Roeder Farms,Roeder Farms,Commercial Scale Wind,5045 Wind Partners,5045 Wind Partners,Alliant Energy,Des Moines IA,1.6 MW,1,2011,GE Energy,In Service,"43.29729211°, -93.28315258°",1.6,43.29729211,-93.28315258
Rolling Hills (IA),Rolling Hills (IA),Rolling Hills (IA),Commercial Scale Wind,MidAmerican Energy Company,MidAmerican Energy Company,MidAmerican Energy Company,Massena IA,443.9 MW,193,2012,Siemens,In Service,"41.230443°, -94.75459°",443.9,41.230443,-94.75459
Rolling Hills (WY),Rolling Hills (WY),Rolling Hills (WY),Commercial Scale Wind,EnXco,PacifiCorp,,Converse WY,99 MW,66,2009,GE Energy,In Service,"43.08080003°, -105.8497953°",99,43.08080003,-105.8497953
Rollins Wind,Rollins Wind,Rollins Wind,Commercial Scale Wind,First Wind,First Wind,Maine Public Utilities Commission / Central Maine Power / Bangor Hydro Electric,East of Lincoln ME,60 MW,40,2011,GE Energy,In Service,"45.412708°, -68.370867°",60,45.412708,-68.370867
Roscoe Wind Farm,Roscoe Wind Farm,Roscoe Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,Luminant,Southeast of Roscoe TX,209 MW,209,2008,Mitsubishi,In Service,"32.237147°, -100.121427°",209,32.237147,-100.121427
Rosebud Sioux Wind Energy Project,Rosebud Sioux Wind Energy Project,Rosebud Sioux Wind Energy Project,Community Wind,Rosebud Sioux,Rosebud Sioux,Rosebud Sioux,Rosebud Sioux Reservation SD,0.75 MW,1,2003,NEG Micon,In Service,"43.002706°, -100.578529°",0.75,43.002706,-100.578529
Rosiere Wind Farm,Rosiere Wind Farm,Rosiere Wind Farm,Commercial Scale Wind,Madison Gas & Electric,Madison Gas & Electric,Madison Gas & Electric,Kewaunee County WI,11.22 MW,17,1999,Vestas,In Service,"44.669395°, -87.627218°",11.22,44.669395,-87.627218
Roth Rock Wind Power Project,Roth Rock Wind Power Project,Roth Rock Wind Power Project,Commercial Scale Wind,Gestamp Wind North America,Synergics,Delmarva Power,South of Red House MD,50 MW,20,2011,Nordex,In Service,"39.30105°, -79.458032°",50,39.30105,-79.458032
Rugby Wind Farm,Rugby Wind Farm,Rugby,Commercial Scale Wind,Iberdrola Renewables,Iberdrola Renewables,Missouri River Energy Services,Pierce County ND,149.1 MW,71,2010,Suzlon Energy Company,In Service,"48.511277°, -99.889169°",149.1,48.511277,-99.889169
Ruthton Wind Farm,Ruthton Wind Farm,Ruthton Wind Farm,Commercial Scale Wind,NAE/Enel North America,Northern Alternative Energy,Xcel Energy,Lincoln County MN,15.84 MW,24,2001,Vestas,In Service,"44.4039°, -96.2646°",15.84,44.4039,-96.2646
SC Johnson Waxdale Plant,SC Johnson Waxdale Plant,SC Johnson Waxdale Plant,Community Wind,SC Johnson,SC Johnson,SC Johnson,Sturtevant WI,3 MW,2,2012,VENSYS,In Service,"42.71313982°, -87.88755655°",3,42.71313982,-87.88755655
SMUD Wind Farm,SMUD Wind Farm,SMUD,Commercial Scale Wind,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Sacramento Municipal Utility District,Solano County CA,0.66 MW,1,1999,Vestas,In Service,"38.2836°, -122.006°",0.66,38.2836,-122.006
Sacred Heart Monastery,Sacred Heart Monastery,Sacred Heart Monastery,Community Wind,Sacred Heart Monastery,,Sacred Heart Monastery,Richardton ND,0.26 MW,2,1997,Silver Eagle,In Service,"46.896443°, -102.346536°",0.26,46.896443,-102.346536
Saint Paul Island Wind Farm,Saint Paul Island Wind Farm,Saint Paul Island,Community Wind,Tanadgusix Corp.,Tanadgusix Corp.,Tanadgusix Corp.,St. Paul Island AK,0.23 MW,1,1999,Vestas,In Service,"57.1761°, -170.269°",0.23,57.1761,-170.269
Salty Dog I,Salty Dog I,Salty Dog I,Commercial Scale Wind,Salty Dog I LLC,,Xcel Energy,Lake Benton MN,1.25 MW,1.25,2006,Suzlon Energy Company,In Service,"44.2881°, -96.4339°",1.25,44.2881,-96.4339
Salty Dog II,Salty Dog II,Salty Dog II,Commercial Scale Wind,Salty Dog II LLC,,Xcel Energy,Lake Benton MN,1.25 MW,1.25,2006,Suzlon Energy Company,In Service,"44.3144°, -96.3256°",1.25,44.3144,-96.3256
San Clemente Island Wind Farm,San Clemente Island Wind Farm,San Clemente Island,Community Wind,U.S. Navy,Pacific Industrial Electric,U.S. Navy,San Clemente Island CA,0.68 MW,3,1998,NEG Micon,In Service,"32.986095°, -118.552138°",0.68,32.986095,-118.552138
San Gorgonio Farms (repower) Wind Farm,San Gorgonio Farms (repower) Wind Farm,San Gorgonio Farms (repower),Commercial Scale Wind,San Gorgonio Farms,San Gorgonio Farms,,San Gorgonio CA,5 MW,10,,Vestas,In Service,"33.9095°, -116.734°",5,33.9095,-116.734
San Gorgonio Farms Wind Farm I,San Gorgonio Farms Wind Farm I,San Gorgonio Farms,Commercial Scale Wind,,,Southern California Edison Co,San Gorgonio CA,2 MW,4,,Vestas,In Service,"33.9095°, -116.734°",2,33.9095,-116.734
San Gorgonio Farms Wind Farm II,San Gorgonio Farms Wind Farm II,San Gorgonio Farms,Commercial Scale Wind,,,Southern California Edison Co,San Gorgonio CA,3.19 MW,49,,Bonus- Micon,In Service,"33.9095°, -116.734°",3.19,33.9095,-116.734
San Gorgonio Farms Wind Farm III,San Gorgonio Farms Wind Farm III,San Gorgonio Farms,Commercial Scale Wind,,,Southern California Edison Co,San Gorgonio CA,26 MW,222,,Bonus; DWT; Micon,In Service,"33.9095°, -116.734°",26,33.9095,-116.734
San Jacinto Wind Farm,San Jacinto Wind Farm,San Jacinto,Commercial Scale Wind,SeaWest,SeaWest,Southern California Edison Co,San Gorgonio CA,5 MW,50,,Vanguard Windmatic,In Service,"33.9095°, -116.734°",5,33.9095,-116.734
San Juan Mesa Wind Farm,San Juan Mesa Wind Farm,San Juan Mesa Wind Farm,Commercial Scale Wind,Edison Mission Group owns majority,Edison Mission Group,Xcel Energy,Elida County NM,120 MW,120,2005,Mitsubishi,In Service,"33.9697°, -103.844°",120,33.9697,-103.844
Sand Bluff Wind Farm,Sand Bluff Wind Farm,Sand Bluff Wind Farm,Commercial Scale Wind,E.On Climate & Renewables,E.On Climate & Renewables,Direct Energy,Near Big Spring TX,90 MW,45,2007,Gamesa,In Service,"32.201622°, -101.404799°",90,32.201622,-101.404799
Sandusky Wastewater Treatment,Sandusky Wastewater Treatment,Sandusky Wastewater Treatment,Community Wind,Sandusky Wastewater Treatment,,Sandusky Wastewater Treatment,Sandusky OH,0.6 MW,1,2010,Elecon,In Service,"41.452091°, -82.723523°",0.6,41.452091,-82.723523
Sandusky Water Filtration,Sandusky Water Filtration,Sandusky Water Filtration,Community Wind,Sandusky Water Filtration,,Sandusky Water Filtration,Sandusky OH,0.4 MW,1,2010,,In Service,"41.45008487°, -82.67055273°",0.4,41.45008487,-82.67055273
Sandy Ridge,Sandy Ridge,Sandy Ridge,Commercial Scale Wind,Algonquin Power,Gamesa,Merchant,Bald Eagle PA,50 MW,25,2012,Gamesa,In Service,"40.75088201°, -78.23842764°",50,40.75088201,-78.23842764
Santa Fe Trail High School Wind Project,Santa Fe Trail High School Wind Project,Santa Fe Trail High School,Community Wind,,,,KS,0.0021 MW,1,2015,SkyStream,In Service,"38.780598°, -95.651553°",0.0021,38.780598,-95.651553
Santa Isabel,Santa Isabel,Santa Isabel,Commercial Scale Wind,Pattern Energy,Pattern Energy,Puerto Rico Electric Power Authority (PREPA),Santa Isabel Puerto Rico,75 MW,33,2012,Siemens,In Service,"17.97416121°, -66.3924408°",75,17.97416121,-66.3924408
Savoonga Wind Farm,Savoonga Wind Farm,Savoonga,Commercial Scale Wind,Alaska Village Electric Cooperative (AVEC),Alaska Village Electric Cooperative (AVEC),Alaska Village Electric Cooperative (AVEC),Savoonga AK,0.2 MW,2,2008,DES,In Service,"63.69207°, -170.496014°",0.2,63.69207,-170.496014
Sawtooth Wind Project,Sawtooth Wind Project,Sawtooth Wind Project,Commercial Scale Wind,PowerWorks,PowerWorks (Idaho Winds),Idaho Power / Seattle City Lights,Elmore County ID,22.4 MW,14,2011,GE Energy,In Service,"42.992577°, -115.396194°",22.4,42.992577,-115.396194
Scituate Wind,Scituate Wind,Scituate Wind,Community Wind,Solaya Energy / Palmer Capital,Solaya Energy,Town of Scituate,Scituate MA,1.5 MW,1,2012,Sinovel,In Service,"42.17592749°, -70.72780252°",1.5,42.17592749,-70.72780252
SeaWest Energy Group Wind Farm,SeaWest Energy Group Wind Farm,SeaWest Energy Group,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,1.04 MW,16,,Micon,In Service,"37.7347°, -121.652°",1.04,37.7347,-121.652
SeaWest Windfarms Wind Farm,SeaWest Windfarms Wind Farm,SeaWest Windfarms,Commercial Scale Wind,SeaWest,SeaWest,Pacific Gas & Electric Co,Altamont Pass CA,11.57 MW,178,,Micon,In Service,"37.7347°, -121.652°",11.57,37.7347,-121.652
Searsburg Wind Energy Facility,Searsburg Wind Energy Facility,Searsburg Wind Energy Facility,Commercial Scale Wind,EnXco,GE Energy,Green Mountain Power,Searsburg VT,6.05 MW,11,1997,Zond,In Service,"42.861356°, -72.964445°",6.05,42.861356,-72.964445
Section 28 Trust Wind Farm,Section 28 Trust Wind Farm,Section 28 Trust,Commercial Scale Wind,,,Southern California Edison Co,San Gorgonio CA,26.2 MW,287,,Various,In Service,"33.9095°, -116.734°",26.2,33.9095,-116.734
Selawik Wind Project,Selawik Wind Project,Selawik Wind Project,Commercial Scale Wind,Alaska Village Electric Coop,Kotzebue Electric Assn Inc,Alaska Village Electric Coop,Selawik AK,0.15 MW,3,2004,Atlantic Orient Co.,In Service,"66.608132°, -160.017555°",0.15,66.608132,-160.017555
Senate,Senate,Senate,Commercial Scale Wind,Algonquin Power,Gamesa,Merchant,Bryson TX,150 MW,75,2012,Gamesa,In Service,"33.21147553°, -98.36325645°",150,33.21147553,-98.36325645
Sentral School Wind Farm,Sentral School Wind Farm,Sentral School,Definition:Small Scale Wind,,,,Fenton IA,0.07 MW,1,1995,Windmatic,In Service,"43.210574°, -94.388514°",0.07,43.210574,-94.388514
Settler's Trail,Settler's Trail,Settler's Trail,Commercial Scale Wind,E.ON Climate & Renewables North America,E.ON Climate & Renewables North America,Merchant,Sheldon IL,150.4 MW,94,2011,GE Energy,In Service,"40.7626336°, -87.54498482°",150.4,40.7626336,-87.54498482
Seven Mile Hill I & II Wind Farm,Seven Mile Hill I & II Wind Farm,Seven Mile Hill I & II,Commercial Scale Wind,PacifiCorp,PacifiCorp,PacifiCorp,Between Hanna and Medicine Bow WY,118.5 MW,79,2008,GE Energy,In Service,"41.939079°, -106.372225°",118.5,41.939079,-106.372225
Shady Oaks,Shady Oaks,Shady Oaks,Commercial Scale Wind,Goldwind,Mainstream Renewable and Goldwind,ComEd,Shabbona IL,109.5 MW,73,2012,Goldwind,In Service,"41.81354658°, -88.90651703°",109.5,41.81354658,-88.90651703
Shane Cowell Wind Farm,Shane Cowell Wind Farm,Shane Cowell Wind Farm,Commercial Scale Wind,Shane Cowell/John Deere Wind Energy,Shane Cowell/John Deere Wind Energy,Xcel Energy,Ruthton MN,2 MW,1,2006,Suzlon Energy Company,In Service,"44.1774°, -96.102°",2,44.1774,-96.102
Shaokatan Hills Wind Farm,Shaokatan Hills Wind Farm,Shaokatan Hills,Commercial Scale Wind,Edison Mission Group owns majority,Northern Alternative Energy,Xcel Energy,Hendricks in Lincoln County MN,11.88 MW,18,1999,Vestas,In Service,"44.4039°, -96.432767°",11.88,44.4039,-96.432767
Shaokatan Power Partners Wind Farm,Shaokatan Power Partners Wind Farm,Shaokatan Power Partners,Commercial Scale Wind,Northern Alternative Energy,Navitas Energy,Xcel Energy,Lincoln County MN,1.6 MW,2,2003,Gamesa,In Service,"44.398108°, -96.418469°",1.6,44.398108,-96.418469
Sheep Valley Ranch,Sheep Valley Ranch,Sheep Valley Ranch,Commercial Scale Wind,,Two Dot Wind LLC,,Wheatland MT,0.5 MW,7,2004,Windmatic,In Service,"46.45°, -110.07°",0.5,46.45,-110.07
Sheffield Wind,Sheffield Wind,Sheffield Wind,Commercial Scale Wind,First Wind,First Wind,Burlington Electric Department / Vermont Electric Cooperative Inc. / Washington Electric Cooperative Inc.,Northern Caledonia County VT,40 MW,16,2011,Clipper,In Service,"44.662191°, -72.103879°",40,44.662191,-72.103879
Shelley High School Wind Project,Shelley High School Wind Project,Shelley High School,Community Wind,,,,ID,,1,,SkyStream,,"43.3727°, -112.134071°",0,43.3727,-112.134071
Shepherds Flat Central,Shepherds Flat Central,Shepherds Flat Central,Commercial Scale Wind,Caithness,Caithness,Southern California Edison Co,Gilliam and Morrow Counties OR,290 MW,116,2012,GE Energy,In Service,"45.655°, -120.056°",290,45.655,-120.056
Shepherds Flat North,Shepherds Flat North,Shepherds Flat North,Commercial Scale Wind,Caithness,Caithness,Southern California Edison Co,Gilliam County OR,265 MW,106,2012,GE Energy,In Service,"45.73°, -120.056°",265,45.73,-120.056
Shepherds Flat South,Shepherds Flat South,Shepherds Flat South,Commercial Scale Wind,Caithness,Caithness,Southern California Edison Co,Ione OR,290 MW,116,2012,GE Energy,In Service,"45.655°, -120.056°",290,45.655,-120.056
Sherbino 2,Sherbino 2,Sherbino 2,Commercial Scale Wind,BP Wind Energy,BP Wind Energy,Merchant,East of Fort Stockton TX,150 MW,60,2012,Clipper,In Service,"30.895935°, -102.213221°",150,30.895935,-102.213221
Sherbino I Wind Farm,Sherbino I Wind Farm,Sherbino I,Commercial Scale Wind,BP Alternative Energy/Padoma Wind Power,BP Alternative Energy/Padoma Wind Power,Market,Pecos County TX,150 MW,50,2008,Vestas,In Service,"30.930562°, -102.199806°",150,30.930562,-102.199806
Sherrod Elementary Wind Project,Sherrod Elementary Wind Project,Sherrod Elementary,Community Wind,,,,AK,,1,,SkyStream,,"61.648163°, -149.150391°",0,61.648163,-149.150391
Shiloh II Wind Farm,Shiloh II Wind Farm,Shiloh II,Commercial Scale Wind,EnXco,EnXco,Pacific Gas & Electric Co,Northern CA CA,150 MW,75,2009,REPower,In Service,"38.179998°, -121.822°",150,38.179998,-121.822
Shiloh III,Shiloh III,Shiloh III,Commercial Scale Wind,EnXco,EnXco,Pacific Gas & Electric Co,Montezuma Hills,102.5 MW,50,2011,REpower,In Service,"38.1550771°, -121.7336226°",102.5,38.1550771,-121.7336226
Shiloh IV,Shiloh IV,Shiloh IV,Commercial Scale Wind,EDF Renewable Energy,EDF Renewable Energy,Pacific Gas & Electric,Birds Landing CA,102.5 MW,100,2012,REpower,In Service,"38.13891092°, -121.8480349°",102.5,38.13891092,-121.8480349
Shiloh Wind Power Project,Shiloh Wind Power Project,Shiloh Wind Power Project,Commercial Scale Wind,PPM Energy Inc,PPM Energy Inc,PG&E -Modesto Irrigation District & City of Palo Alto Utilities,Solano County CA,150 MW,100,2006,GE Energy,In Service,"38.154041°, -121.876066°",150,38.154041,-121.876066
Shirley,Shirley,Shirley,Commercial Scale Wind,Central Hudson Enterprises Corp.,Emerging Energies,WPS,South of Green Bay WI,20 MW,8,2010,Nordex USA,In Service,"44.3556°, -87.984159°",20,44.3556,-87.984159
Shooting Star,Shooting Star,Shooting Star,Commercial Scale Wind,Exelon Wind,Infinity Wind Power,Sunflower Electric Power Corporation,Greensburg KS,104 MW,65,2012,GE Energy,In Service,"37.55019151°, -99.27585125°",104,37.55019151,-99.27585125
Sibley Hills Wind Farm,Sibley Hills Wind Farm,Sibley Hills,Commercial Scale Wind,Northern Alternative Energy,Northern Alternative Energy,Alliant/IES Utilities,Sibley IA,0.66 MW,1,2003,Vestas,In Service,"43.4037°, -95.7417°",0.66,43.4037,-95.7417
